Brand,Model Name,Vehicle Status,Year,Availability Start Year,Availability End Year,Real-World Range (km),Energy Efficiency (Wh/km),Battery Capacity (kWh),Vehicle Weight (kg),"Acceleration (0-100 km/h, sec)",Fast Charging Speed (kW),Towing Capacity (kg),Cargo Volume (L),Price (€)
Tesla,Model 3 RWD (Highland CATL LFP60)Tesla Model 3 RWD,Discontinued,2023,2023,2025,420.0,136.0,57.0,1830.0,6.1,108.0,1000.0,682.0,42389.0
Kia,EV6 Long Range AWDKia EV6 Long Range AWD,Available,2024,2024,,440.0,182.0,80.0,2160.0,5.2,205.0,1800.0,510.0,56489.0
Hyundai,IONIQ 6 Long Range 2WDHyundai IONIQ 6 Long Range 2WD,Available,2022,2022,,495.0,149.0,74.0,1980.0,7.4,200.0,1500.0,446.0,52989.0
Kia,EV5 81.4 kWh (MY26)Kia EV5 81.4 kWh,Available,2025,2025,,400.0,195.0,78.0,2060.0,8.4,115.0,1200.0,566.0,45289.0
Citroën,ë-C3 Comfort Range 44 kWhCitroen e-C3 Comfort Range 44 kWh,Available,2024,2024,,255.0,172.0,43.8,1490.0,11.5,60.0,550.0,310.0,23889.0
Mercedes-Benz,EQA 250Mercedes-Benz EQA 250,Available,2023,2023,,395.0,168.0,66.5,2040.0,8.6,100.0,1500.0,340.0,50789.0
Audi,Q4 e-tron 45Audi Q4 e-tron 45,Available,2023,2023,,420.0,183.0,77.0,2140.0,6.7,120.0,1000.0,520.0,53989.0
Škoda,Enyaq iV 80 (MY21-23)Skoda Enyaq iV 80,Discontinued,2021,2021,2023,440.0,175.0,77.0,2070.0,8.6,125.0,1000.0,585.0,49089.0
Volkswagen,ID.7 Pro (MY24-25)Volkswagen ID.7 Pro,Discontinued,2023,2023,2025,475.0,162.0,77.0,2170.0,6.5,125.0,1000.0,532.0,54089.0
Lucid,Air Grand Touring (MY25-26)Lucid Air Grand Touring,Available,2024,2024,,720.0,163.0,117.0,2430.0,3.2,190.0,0.0,910.0,10089.0
BMW,iX1 eDrive20BMW iX1 eDrive20,Available,2023,2023,,390.0,166.0,64.7,1940.0,8.3,93.0,750.0,490.0,50289.0
Polestar,5 Dual MotorPolestar 5 Dual Motor,Available,2025,2025,,580.0,183.0,106.0,2460.0,3.9,210.0,1800.0,427.0,10089.0
TOGG,T10F Long Range RWDTOGG T10F Long Range RWD,Available,2025,2025,,490.0,173.0,85.0,2150.0,7.5,115.0,0.0,505.0,40189.0
Lynk&Co,02Lynk&Co 02,Available,2024,2024,,370.0,176.0,65.0,1820.0,5.5,90.0,1600.0,425.0,34989.0
Kia,PV5 Passenger 71.2 kWh (MY26)Kia PV5 Passenger 71.2 kWh,Available,2025,2025,,315.0,213.0,67.0,2140.0,10.6,75.0,1500.0,133.0,43189.0
MG,MG4 Electric 51 kWhMG MG4 Electric 51 kWh,Available,2022,2022,,300.0,169.0,50.8,1710.0,7.7,68.0,500.0,363.0,32789.0
MG,MG5 Electric Long RangeMG MG5 Electric Long Range,Discontinued,2022,2022,2025,335.0,171.0,57.4,1630.0,7.7,60.0,500.0,479.0,37989.0
KGM,Torres EVX (MY24-25)KGM Torres EVX,Available,2024,2024,,370.0,195.0,72.0,1970.0,8.1,85.0,1500.0,839.0,41989.0
